UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,ESTIM_POB,IDH_2019,%POBREZA,%POBREZAEXT,TASA_NOLEER,TASA_INDIGENA,TASA_NOAFILSALUD,TASA_MAS80,UNA_DOSIS,DOS_DOSIS,TRES_DOSIS
060307,CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,5601,0.160806327462216,0.75803568,0.4023896,0.189405684754522,0.000258397932816537,0.0315245478036176,0.0173183360114265,2473,1904,189
060308,CAJAMARCA,CELENDIN,OXAMARCA,6996,0.184400166425672,0.80998207,0.3649691,0.198368557656656,0.00982573229514275,0.0502410085279941,0.0181532304173814,3714,3213,131
060309,CAJAMARCA,CELENDIN,SOROCHUCO,9976,0.243053644302323,0.66234164,0.5671386,0.258705114254625,0.0745375408052231,0.0983405875952122,0.0311748195669607,5735,5209,694
060310,CAJAMARCA,CELENDIN,SUCRE,6124,0.348747200151189,0.53907275,0.2800743,0.151928783382789,0.0257171117705242,0.141246290801187,0.027106466361855,3508,3014,564
060311,CAJAMARCA,CELENDIN,UTCO,1419,0.196758604655157,0.66829214,0.353758,0.203422053231939,0.0123574144486692,0.0950570342205323,0.0345313601127555,761,676,68
060312,CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,9067,0.194576257385796,0.68677194,0.6445201,0.203916692570718,0.0453838980416537,0.0391669257071806,0.015771478989743,3715,2948,121
060401,CAJAMARCA,CHOTA,CHOTA,49135,0.470087577919496,0.4808033,0.1210598,0.197571860656951,0.0266503098627298,0.223481884134605,0.0300803907601506,43088,35673,6540
060402,CAJAMARCA,CHOTA,ANGUIA,4333,0.193132022910809,0.78712226,0.4438836,0.225163500467144,0.000934288383681096,0.0526315789473684,0.0295407339026079,1755,1545,148
060403,CAJAMARCA,CHOTA,CHADIN,4145,0.260290293008414,0.66695063,0.2705153,0.21165555233401,0.00318933024064946,0.0861119164975355,0.0209891435464415,1771,1500,211
060404,CAJAMARCA,CHOTA,CHIGUIRIP,4710,0.210555556833342,0.69123626,0.5204752,0.241142543257347,0.00109859928591046,0.0538313650096128,0.0358811040339703,2803,2454,372
060405,CAJAMARCA,CHOTA,CHIMBAN,3693,0.25899461860412,0.57313483,0.4865219,0.216007276034561,0.00136425648021828,0.0345611641655298,0.0121852152721365,1533,1331,334
060406,CAJAMARCA,CHOTA,CHOROPAMPA,2684,0.275310921693834,0.57256073,0.6099729,0.222174657534247,0.000856164383561644,0.0766267123287671,0.0264530551415797,1494,1357,100
060407,CAJAMARCA,CHOTA,COCHABAMBA,6496,0.30113013478397,0.6400383,0.4760839,0.207536963577353,0.0297511720158673,0.0465200144248107,0.0364839901477833,3832,3450,861
060408,CAJAMARCA,CHOTA,CONCHAN,7075,0.231963532277391,0.70238875,0.3513582,0.227361332624491,0.0131135920609605,0.0723019670388092,0.0247349823321555,3093,2759,299
060409,CAJAMARCA,CHOTA,HUAMBOS,9590,0.265499251852938,0.69520731,0.3280781,0.206347215253387,0.00413948820873056,0.08078273958856,0.0403545359749739,6246,5589,779
060410,CAJAMARCA,CHOTA,LAJAS,12660,0.33057999407609,0.71060172,0.2885769,0.239790859100334,0.0207337960876228,0.0811322455602632,0.0390205371248025,9261,8691,3106
060411,CAJAMARCA,CHOTA,LLAMA,8130,0.419870526450055,0.46883478,0.3225202,0.128339222614841,0.00791519434628975,0.122685512367491,0.0312423124231242,5978,5305,1895
060412,CAJAMARCA,CHOTA,MIRACOSTA,3941,0.214630229020371,0.73618957,0.6967486,0.18701217608492,0.0349672182329066,0.0771152044957852,0.0390763765541741,2131,1869,186
060413,CAJAMARCA,CHOTA,PACCHA,5372,0.296654836749948,0.56236061,0.4169113,0.202699662542182,0.00764904386951631,0.087289088863892,0.022524199553239,4023,3311,535
060414,CAJAMARCA,CHOTA,PION,1586,0.320366435638667,0.39457441,0.4041676,0.191103789126853,0.0123558484349259,0.0337726523887974,0.0308953341740227,813,716,122
060415,CAJAMARCA,CHOTA,QUEROCOTO,9046,0.376093830975545,0.55079391,0.1978146,0.165773401470772,0.000997133241929453,0.121774897170634,0.0371434888348441,6086,5194,1139
060416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,993,0.297781563959302,0.64294574,0.5149271,0.137787056367432,0,0.0824634655532359,0.0574018126888218,708,637,53
060417,CAJAMARCA,CHOTA,TACABAMBA,20226,0.275743478430081,0.61694068,0.3481333,0.243886907794193,0.0524707080998472,0.0972363728986246,0.0238801542568971,11373,9868,1061
060418,CAJAMARCA,CHOTA,TOCMOCHE,1002,0.304735002979167,0.65383911,0.3218928,0.171129220023283,0.00349243306169965,0.0349243306169965,0.0688622754491018,1147,901,319
060419,CAJAMARCA,CHOTA,CHALAMARCA,11320,0.277596469773957,0.59971932,0.3251447,0.245018611780162,0.0112765491569958,0.115283555944822,0.020583038869258,6230,5088,734
060501,CAJAMARCA,CONTUMAZA,CONTUMAZA,8572,0.352599301838144,0.4892452,0.3129377,0.141401956842246,0.0266720278783005,0.0794799624715186,0.0327811479234718,5253,4770,1297
060502,CAJAMARCA,CONTUMAZA,CHILETE,2808,0.529450394794468,0.26729719,0.1737027,0.110056925996205,0.0535104364326376,0.0994307400379507,0.0366809116809117,2877,2756,871
060503,CAJAMARCA,CONTUMAZA,CUPISNIQUE,1482,0.273443900947794,0.63711821,0.4737156,0.12406576980568,0,0.0949177877428999,0.0411605937921727,1034,946,394
060504,CAJAMARCA,CONTUMAZA,GUZMANGO,3155,0.257316792253276,0.67344987,0.4192041,0.142590518850317,0.0205300485255692,0.0731616274729377,0.0272583201267829,1555,1272,260
060505,CAJAMARCA,CONTUMAZA,SAN BENITO,3853,0.382390266313539,0.53088797,0.1873191,0.120917917034422,0.000588408355398647,0.178876140041189,0.0306254866337919,2733,2498,860
060506,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLEDO,1063,0.24045905927351,0.68006417,0.5441644,0.147887323943662,0,0.096579476861167,0.0366886171213547,610,524,74
060507,CAJAMARCA,CONTUMAZA,TANTARICA,3273,0.409561371422031,0.51352498,0.3536024,0.130434782608696,0.0130028443722064,0.104022754977651,0.027803238619004,1331,1210,344
060508,CAJAMARCA,CONTUMAZA,YONAN,7967,0.556377484236966,0.26361603,0.0724426,0.110764198632174,0.0194766577460601,0.126969967291109,0.027990460650182,5411,5020,2339
060601,CAJAMARCA,CUTERVO,CUTERVO,56663,0.39888119354965,0.46552723,0.2326975,0.202180532364208,0.0267164325704744,0.057204596797957,0.0223955667719676,44077,40917,6539
060602,CAJAMARCA,CUTERVO,CALLAYUC,10410,0.337608301771341,0.75643123,0.3561353,0.235444931097105,0.0128191432539259,0.0677278068582417,0.0221902017291066,5040,4220,308
060603,CAJAMARCA,CUTERVO,CHOROS,3628,0.393494281322402,0.59848048,0.4566194,0.188325225851286,0.00382209867963864,0.0510771369006254,0.0256339581036384,2287,2029,565
060604,CAJAMARCA,CUTERVO,CUJILLO,3058,0.311970210839353,0.7662892,0.4740616,0.143347639484979,0.000429184549356223,0.0394849785407725,0.0170045781556573,1426,1347,364
060605,CAJAMARCA,CUTERVO,LA RAMADA,4895,0.274088101149786,0.73322219,0.5952782,0.205640744797371,0.00684556407447974,0.0383351588170865,0.0192032686414709,3039,2650,325
060606,CAJAMARCA,CUTERVO,PIMPINGOS,5815,0.276385531903431,0.6036662,0.4171957,0.18156862745098,0.000196078431372549,0.0419607843137255,0.0285468615649183,3396,3077,393
060607,CAJAMARCA,CUTERVO,QUEROCOTILLO,17136,0.274225313514711,0.69150117,0.5638014,0.207284207284207,0.00231000231000231,0.0613690613690614,0.0242763772175537,7991,7054,1003
