Ano;Departamentos;Distritos;provincia;Región natural;Maxepi Week;Semana;Maxyear;Muerte Mat;Geometría;Mmaterna1;Mmaterna2
2015;ANCASH;TAUCA;PALLASCA;SIERRA;16;40;2021;1;Polygon;1;
2012;ANCASH;CONCHUCOS;PALLASCA;SIERRA;16;28;2021;1;Polygon;1;
2012;ANCASH;PAMPAS;PALLASCA;SIERRA;16;49;2021;1;Polygon;1;
2012;ANCASH;PAMPAS;PALLASCA;SIERRA;16;9;2021;1;Polygon;1;
2014;ANCASH;PAMPAS;PALLASCA;SIERRA;16;2;2021;1;Polygon;1;
2017;ANCASH;QUINUABAMBA;POMABAMBA;SIERRA;16;27;2021;1;Polygon;1;
2017;ANCASH;PAROBAMBA;POMABAMBA;SIERRA;16;1;2021;1;Polygon;;1
2013;ANCASH;POMABAMBA;POMABAMBA;SIERRA;16;26;2021;1;Polygon;1;
2021;ANCASH;RECUAY;RECUAY;SIERRA;16;3;2021;1;Polygon;;1
2018;ANCASH;RECUAY;RECUAY;SIERRA;16;20;2021;1;Polygon;;1
2014;ANCASH;MARCA;RECUAY;SIERRA;16;43;2021;1;Polygon;;1
2018;ANCASH;CHIMBOTE;SANTA;COSTA;16;10;2021;1;Polygon;1;
2017;ANCASH;CHINGALPO;SIHUAS;SIERRA;16;49;2021;1;Polygon;1;
2017;ANCASH;SIHUAS;SIHUAS;SIERRA;16;27;2021;1;Polygon;1;
2016;ANCASH;CHIMBOTE;SANTA;COSTA;16;35;2021;1;Polygon;1;
2013;ANCASH;CHIMBOTE;SANTA;COSTA;16;28;2021;1;Polygon;;1
2012;ANCASH;CHIMBOTE;SANTA;COSTA;16;6;2021;1;Polygon;1;
2012;ANCASH;COISHCO;SANTA;COSTA;16;1;2021;1;Polygon;;1
2015;ANCASH;CHIMBOTE;SANTA;COSTA;16;30;2021;1;Polygon;1;
2014;ANCASH;CHIMBOTE;SANTA;COSTA;16;25;2021;1;Polygon;1;
2021;ANCASH;CHIMBOTE;SANTA;COSTA;16;11;2021;1;Polygon;;1
2019;ANCASH;NUEVO CHIMBOTE;SANTA;COSTA;16;10;2021;1;Polygon;1;
2018;ANCASH;NEPEÑA;SANTA;COSTA;16;17;2021;1;Polygon;;1
2015;ANCASH;CHIMBOTE;SANTA;COSTA;16;44;2021;1;Polygon;1;
2013;ANCASH;NUEVO CHIMBOTE;SANTA;COSTA;16;29;2021;1;Polygon;;1
2012;ANCASH;CHIMBOTE;SANTA;COSTA;16;27;2021;1;Polygon;1;
2014;ANCASH;CHIMBOTE;SANTA;COSTA;16;18;2021;1;Polygon;1;
2015;ANCASH;CACERES DEL PERU;SANTA;COSTA;16;13;2021;1;Polygon;1;
2013;ANCASH;COISHCO;SANTA;COSTA;16;5;2021;1;Polygon;1;
2015;ANCASH;SANTA;SANTA;COSTA;16;33;2021;1;Polygon;1;
2021;ANCASH;CASMA;CASMA;COSTA;16;3;2021;1;Polygon;;1
2018;ANCASH;SANTA;SANTA;COSTA;16;50;2021;1;Polygon;1;
2018;ANCASH;CASMA;CASMA;COSTA;16;36;2021;1;Polygon;;1
2018;ANCASH;SIHUAS;SIHUAS;SIERRA;16;31;2021;1;Polygon;1;
2018;ANCASH;HUARMEY;HUARMEY;COSTA;16;14;2021;1;Polygon;;1
2018;ANCASH;CHIMBOTE;SANTA;COSTA;16;10;2021;1;Polygon;1;
2016;ANCASH;NUEVO CHIMBOTE;SANTA;COSTA;16;32;2021;1;Polygon;1;
2016;ANCASH;NUEVO CHIMBOTE;SANTA;COSTA;16;17;2021;1;Polygon;1;
2015;ANCASH;NUEVO CHIMBOTE;SANTA;COSTA;16;20;2021;1;Polygon;1;
2013;ANCASH;NUEVO CHIMBOTE;SANTA;COSTA;16;52;2021;1;Polygon;;1
2015;ANCASH;NUEVO CHIMBOTE;SANTA;COSTA;16;34;2021;1;Polygon;1;
2014;ANCASH;NUEVO CHIMBOTE;SANTA;COSTA;16;43;2021;1;Polygon;;1
2014;ANCASH;PAMPAROMAS;HUAYLAS;SIERRA;16;20;2021;1;Polygon;;1
2015;ANCASH;HUAYLLABAMBA;SIHUAS;SIERRA;16;26;2021;1;Polygon;1;
2013;ANCASH;SAN JUAN;SIHUAS;SIERRA;16;28;2021;1;Polygon;1;
2014;ANCASH;QUILLO;YUNGAY;COSTA;16;42;2021;1;Polygon;1;
2012;ANCASH;MANCOS;YUNGAY;SIERRA;16;1;2021;1;Polygon;;1
2016;ANCASH;QUILLO;YUNGAY;COSTA;16;38;2021;1;Polygon;1;
2012;ANCASH;QUILLO;YUNGAY;COSTA;16;18;2021;1;Polygon;1;
2012;ANCASH;QUILLO;YUNGAY;COSTA;16;17;2021;1;Polygon;1;
2016;ANCASH;QUILLO;YUNGAY;COSTA;16;47;2021;1;Polygon;1;
2014;ANCASH;QUILLO;YUNGAY;COSTA;16;25;2021;1;Polygon;;1
2018;APURIMAC;CURAHUASI;ABANCAY;SIERRA;16;42;2021;1;Polygon;;1
2012;APURIMAC;ABANCAY;ABANCAY;SIERRA;16;30;2021;1;Polygon;;1
2015;APURIMAC;ABANCAY;ABANCAY;SIERRA;16;22;2021;1;Polygon;1;
2014;APURIMAC;CIRCA;ABANCAY;SIERRA;16;53;2021;1;Polygon;1;
2012;APURIMAC;CURAHUASI;ABANCAY;SIERRA;16;28;2021;1;Polygon;1;
2015;APURIMAC;TAMBURCO;ABANCAY;SIERRA;16;42;2021;1;Polygon;;1
2021;APURIMAC;CHINCHEROS;CHINCHEROS;SIERRA;16;6;2021;1;Polygon;1;
2019;APURIMAC;SANTA MARIA DE CHICMO;ANDAHUAYLAS;SIERRA;16;37;2021;1;Polygon;;1
2016;APURIMAC;HUANCARAY;ANDAHUAYLAS;SIERRA;16;8;2021;1;Polygon;1;
2013;APURIMAC;HUAYANA;ANDAHUAYLAS;SIERRA;16;12;2021;1;Polygon;1;
2012;APURIMAC;ANCO-HUALLO;CHINCHEROS;SIERRA;16;10;2021;1;Polygon;1;
2015;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;SIERRA;16;37;2021;1;Polygon;1;
2015;APURIMAC;TALAVERA;ANDAHUAYLAS;SIERRA;16;27;2021;1;Polygon;1;
2016;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;SIERRA;16;22;2021;1;Polygon;;1
2021;APURIMAC;ANTABAMBA;ANTABAMBA;SIERRA;16;6;2021;1;Polygon;1;
2012;APURIMAC;OROPESA;ANTABAMBA;SIERRA;16;4;2021;1;Polygon;1;
2012;APURIMAC;HUAQUIRCA;ANTABAMBA;SIERRA;16;1;2021;1;Polygon;;1
2019;APURIMAC;TINTAY;AYMARAES;SIERRA;16;22;2021;1;Polygon;;1
2012;APURIMAC;CHALLHUAHUACHO;COTABAMBAS;SIERRA;16;5;2021;1;Polygon;;1
2016;APURIMAC;TAMBOBAMBA;COTABAMBAS;SIERRA;16;31;2021;1;Polygon;;1
2021;APURIMAC;TAMBOBAMBA;COTABAMBAS;SIERRA;16;1;2021;1;Polygon;1;
2012;APURIMAC;CHALLHUAHUACHO;COTABAMBAS;SIERRA;16;2;2021;1;Polygon;;1
2019;APURIMAC;COYLLURQUI;COTABAMBAS;SIERRA;16;50;2021;1;Polygon;;1
2012;APURIMAC;HAQUIRA;COTABAMBAS;SIERRA;16;19;2021;1;Polygon;;1
